model,max_depth,min_samples_split,min_samples_leaf,criterion,splitter,ccp_alpha,train_acc,test_acc,gap
DecisionTree,32,7,10,entropy,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,26,6,11,log_loss,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,31,8,13,log_loss,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,32,3,12,log_loss,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,31,5,9,log_loss,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,33,15,7,entropy,random,0.0,0.9975391552158002,0.7668115684882896,0.2307275867275106
DecisionTree,25,17,16,entropy,random,1e-05,0.9957371817770475,0.7625532292405962,0.2331839525364513
DecisionTree,28,17,16,log_loss,random,1e-05,0.9961261540171307,0.759403832505323,0.23672232151180772
DecisionTree,30,14,16,entropy,random,1e-05,0.9961261540171307,0.759403832505323,0.23672232151180772
DecisionTree,2,34,6,log_loss,random,0.0001,0.9430195359323029,0.7567423704755145,0.1862771654567884
DecisionTree,24,34,5,gini,random,0.01,0.9536329213402872,0.7507097232079489,0.20292319813233828
DecisionTree,7,7,7,entropy,random,0.01,0.966508696307939,0.7460965223562811,0.2204121739516579
DecisionTree,10,3,17,log_loss,random,0.01,0.9675327252665253,0.7457860184528035,0.22174670681372188
DecisionTree,10,31,15,log_loss,random,0.01,0.9679375739245711,0.7380234208658624,0.22991415305870877
