model,C,solver,class_weight,max_iter,train_acc,test_acc,gap
LogisticRegression,168045.63530461618,liblinear,,2000,0.9752089733514324,0.7560326472675657,0.21917632608386672
LogisticRegression,12852.63260889746,liblinear,,5000,0.9752089733514324,0.7560326472675657,0.21917632608386672
LogisticRegression,2580.5533847577954,liblinear,,5000,0.9752169115604138,0.7560326472675657,0.2191842642928481
LogisticRegression,3215.14216337538,liblinear,,3000,0.9752169115604138,0.7560326472675657,0.2191842642928481
LogisticRegression,39675.3887308024,lbfgs,,5000,0.9753042318592079,0.7560326472675657,0.2192715845916422
LogisticRegression,107650.32598210704,lbfgs,,5000,0.9754788724567963,0.7560326472675657,0.21944622518923063
LogisticRegression,9.824483976225224,lbfgs,balanced,2000,0.9756376366364221,0.7560326472675657,0.21960498936885642
LogisticRegression,16136.403869779766,lbfgs,,3000,0.9751851587244886,0.7559882895670689,0.21919686915741976
LogisticRegression,5319.970137068082,liblinear,,3000,0.9751930969334699,0.7559882895670689,0.21920480736640102
LogisticRegression,21635.267177238336,liblinear,,2000,0.9752010351424512,0.7559882895670689,0.21921274557538228
LogisticRegression,14158.080837783144,liblinear,,2000,0.9752010351424512,0.7559882895670689,0.21921274557538228
LogisticRegression,51430.598509510804,liblinear,,2000,0.9752169115604138,0.7559882895670689,0.21922862199334492
LogisticRegression,4574.836202997628,liblinear,,3000,0.9751375294706008,0.755943931866572,0.2191935976040288
LogisticRegression,677996.5064807831,liblinear,,5000,0.9751930969334699,0.755943931866572,0.21924916506689784
LogisticRegression,9.598865093568259,liblinear,balanced,2000,0.9755979455915157,0.755943931866572,0.21965401372494364
LogisticRegression,5495.634139925189,lbfgs,balanced,2000,0.9759075357417859,0.755943931866572,0.21996360387521385
LogisticRegression,8052.249354701579,liblinear,,5000,0.9751375294706008,0.7558995741660752,0.2192379553045256
LogisticRegression,18665.652137981106,liblinear,,2000,0.9751930969334699,0.7558995741660752,0.21929352276739467
LogisticRegression,45786.28083952891,lbfgs,,3000,0.9752327879783763,0.7558995741660752,0.2193332138123011
LogisticRegression,6829.944472319862,lbfgs,balanced,3000,0.9757805243980853,0.7558995741660752,0.21988095023201004
LogisticRegression,7496.692141338595,lbfgs,,5000,0.9753915521580021,0.7558552164655784,0.2195363356924237
LogisticRegression,894.6008206617714,liblinear,,2000,0.9751375294706008,0.7558108587650816,0.21932667070551926
LogisticRegression,7789.935093696552,liblinear,,5000,0.975169282306526,0.7558108587650816,0.21935842354144441
LogisticRegression,296152.7961650444,liblinear,,2000,0.9751772205155073,0.7558108587650816,0.21936636175042568
LogisticRegression,6093.559561737753,liblinear,,3000,0.9751930969334699,0.7558108587650816,0.2193822381683883
LogisticRegression,290010.43346153817,liblinear,,5000,0.9751057766346757,0.7557665010645848,0.21933927557009092
LogisticRegression,5374.629591581106,liblinear,,3000,0.9751295912616196,0.7557665010645848,0.21936309019703482
LogisticRegression,868.1443369771375,liblinear,,2000,0.9751295912616196,0.755722143364088,0.21940744789753153
LogisticRegression,142603.37483320787,liblinear,,2000,0.9751375294706008,0.755722143364088,0.2194153861065128
LogisticRegression,41904.37543654027,liblinear,,5000,0.9751851587244886,0.755722143364088,0.21946301536040058
LogisticRegression,69161.20192854427,liblinear,,5000,0.975224849769395,0.755722143364088,0.219502706405307
LogisticRegression,278083.6400947132,liblinear,,2000,0.9752327879783763,0.755722143364088,0.21951064461428826
LogisticRegression,7135.930159545986,liblinear,,5000,0.9751534058885635,0.7556777856635912,0.21947562022497225
LogisticRegression,116861.30068522668,liblinear,,5000,0.975224849769395,0.7556777856635912,0.21954706410580382
LogisticRegression,30306.259738248005,liblinear,,3000,0.975224849769395,0.7556777856635912,0.21954706410580382
LogisticRegression,4500.305160556323,liblinear,,2000,0.9752327879783763,0.7556777856635912,0.21955500231478509
LogisticRegression,477.96993888551725,liblinear,,5000,0.9751295912616196,0.7556334279630944,0.21949616329852517
LogisticRegression,151875.3570153706,liblinear,,2000,0.9752327879783763,0.7556334279630944,0.2195993600152819
LogisticRegression,75094.6902903069,liblinear,,5000,0.9752327879783763,0.7555890702625976,0.21964371771577873
LogisticRegression,10.21268465830813,lbfgs,balanced,5000,0.9758281536519731,0.7555890702625976,0.22023908338937548
LogisticRegression,21220.567843780635,liblinear,,5000,0.975169282306526,0.7555447125621008,0.21962456974442524
LogisticRegression,4703.476119225675,liblinear,,2000,0.9751772205155073,0.7555447125621008,0.2196325079534065
LogisticRegression,6461.876641066186,liblinear,,2000,0.9751772205155073,0.7555447125621008,0.2196325079534065
LogisticRegression,18191.315837653266,liblinear,,3000,0.9751930969334699,0.7555447125621008,0.21964838437136913
LogisticRegression,146.97797098345015,lbfgs,,5000,0.9748993832011622,0.7554559971611071,0.2194433860400551
LogisticRegression,3998.0168901424736,liblinear,,3000,0.9752169115604138,0.7554559971611071,0.21976091439930667
LogisticRegression,90978.72323218956,lbfgs,balanced,3000,0.9758122772340104,0.7554559971611071,0.2203562800729033
LogisticRegression,15.146862926558843,lbfgs,,5000,0.9750184563358815,0.7553229240596168,0.2196955322762647
LogisticRegression,96561.81075874693,liblinear,,5000,0.9751137148436569,0.7553229240596168,0.21979079078404018
LogisticRegression,94342.4507325424,lbfgs,,2000,0.9750502091718066,0.7552342086586231,0.2198160005131835
LogisticRegression,1313639.3588081931,lbfgs,,5000,0.9751375294706008,0.7552342086586231,0.21990332081197772
LogisticRegression,5.307593398228943,liblinear,balanced,5000,0.9753042318592079,0.7551898509581263,0.2201143809010816
LogisticRegression,274672.3071573338,lbfgs,,5000,0.975248664396339,0.7551454932576295,0.22010317113870947
LogisticRegression,14803.702217435759,liblinear,,2000,0.9750899002167132,0.7551011355571328,0.2199887646595804
LogisticRegression,3.825220867979386,liblinear,balanced,5000,0.975248664396339,0.7551011355571328,0.22014752883920619
LogisticRegression,24.33855138510931,liblinear,,2000,0.9749708270819938,0.7549237047551455,0.2200471223268483
LogisticRegression,0.003953978007083458,liblinear,balanced,2000,0.9722718360283553,0.7548793470546487,0.21739248897370667
LogisticRegression,28.551914369227212,liblinear,,5000,0.9749073214101435,0.7548349893541518,0.22007233205599164
LogisticRegression,103563.14804577522,lbfgs,,3000,0.9752407261873576,0.7548349893541518,0.22040573683320575
LogisticRegression,33360.91857918376,lbfgs,,5000,0.9747168043945925,0.7547906316536551,0.2199261727409374
LogisticRegression,392026.88686139276,lbfgs,,2000,0.9745421637970041,0.7547462739531583,0.2197958898438458
LogisticRegression,30754.6248597877,lbfgs,,3000,0.9743516467814531,0.7547019162526615,0.21964973052879166
LogisticRegression,0.004793107998083287,lbfgs,balanced,5000,0.9723670945361308,0.7546575585521647,0.21770953598396614
LogisticRegression,111300.91078403212,lbfgs,,3000,0.9750978384256944,0.7545244854506742,0.22057335297502023
LogisticRegression,59738.88161469981,lbfgs,,3000,0.9748755685742183,0.7542583392476934,0.22061722932652494
LogisticRegression,4.439502377536218,lbfgs,,3000,0.9741531915569209,0.7541696238466998,0.2199835677102211
LogisticRegression,1.1174719102000426,liblinear,balanced,3000,0.9748041246933867,0.754125266146203,0.22067885854718372
LogisticRegression,0.0023965171453450085,liblinear,,3000,0.9709461551284799,0.7539034776437189,0.21704267748476103
LogisticRegression,5.372575072548873,liblinear,,2000,0.974319893945528,0.7538147622427254,0.22050513170280261
