model,C,solver,class_weight,max_iter,train_acc,test_acc,gap,max_depth,min_samples_split,min_samples_leaf,criterion,splitter,ccp_alpha,n_estimators,max_features,bootstrap
RandomForest,,,balanced_subsample,,0.998928341787526,0.812721788502484,0.1862065532850418,35.0,4.0,6.0,,,,200.0,,True
RandomForest,,,balanced_subsample,,0.998928341787526,0.8125,0.1864283417875258,28.0,2.0,6.0,,,,150.0,,True
RandomForest,,,balanced,,0.9990236002953014,0.812278211497516,0.1867453887977853,27.0,10.0,5.0,,,,100.0,,True
RandomForest,,,,,0.9987457629809562,0.8122338537970192,0.186511909183937,40.0,20.0,5.0,,,,200.0,,True
DecisionTree,,,,,0.9947290292364236,0.8120120652945352,0.1827169639418885,25.0,11.0,11.0,gini,random,0.0001,,,
DecisionTree,,,,,0.9903630142967144,0.8110805535841022,0.1792824607126121,24.0,23.0,11.0,entropy,random,0.001,,,
DecisionTree,,,,,0.9954752208806648,0.810681334279631,0.1847938866010339,25.0,12.0,13.0,gini,random,0.0001,,,
RandomForest,,,,,0.9992299937288148,0.8106369765791341,0.1885930171496808,35.0,4.0,4.0,,,,100.0,,True
RandomForest,,,balanced,,0.998904527160582,0.8105926188786373,0.1883119082819446,40.0,5.0,6.0,,,,300.0,,True
DecisionTree,,,,,0.9960467719273176,0.8104151880766501,0.1856315838506675,31.0,36.0,14.0,gini,random,1e-06,,,
DecisionTree,,,,,0.9907043572829098,0.8094836763662172,0.1812206809166926,8.0,29.0,14.0,gini,random,0.0,,,
DecisionTree,,,,,0.996626261182952,0.8085521646557843,0.1880740965271676,24.0,15.0,11.0,log_loss,random,0.0,,,
RandomForest,,,balanced,,0.998817206861788,0.8074875798438609,0.191329627017927,31.0,2.0,7.0,,,,200.0,,True
DecisionTree,,,,,0.9963404856596256,0.8071327182398864,0.1892077674197391,27.0,17.0,13.0,gini,random,1e-05,,,
DecisionTree,,,,,0.9963404856596256,0.8071327182398864,0.1892077674197391,29.0,18.0,13.0,gini,random,1e-06,,,
DecisionTree,,,,,0.9954514062537212,0.8069552874378992,0.1884961188158218,13.0,12.0,9.0,entropy,random,1e-06,,,
